code_module,gender_bin,disability_bin,age_numeric,edu_numeric,imd_numeric,num_of_prev_attempts,studied_credits,days_to_start,registered_early,at_risk,avg_score,num_submitted,num_failed,submission_rate,avg_tma_score,avg_cma_score,avg_days_late,total_clicks,active_days,avg_clicks_per_day,quiz_clicks,forumng_clicks,resource_clicks,clicked_before_start,module_total_assessments
BBB,0,0,0,1,0.0,0,60,116.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,3.0,17.67,0.0,6.0,3.0,0.0,6
DDD,0,1,0,2,30.0,0,90,37.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,7.0,10.43,0.0,24.0,4.0,1.0,7
GGG,0,0,1,1,90.0,0,30,58.0,1,0,79.77777777777777,9.0,0.0,0.9,59.333333333333336,90.0,-43.44444444444444,763.0,41.0,18.61,123.0,75.0,19.0,1.0,10
FFF,0,0,0,2,80.0,0,120,32.0,1,1,78.45454545454545,11.0,0.0,0.8461538461538461,76.25,79.71428571428571,-66.72727272727273,1761.0,44.0,40.02,600.0,57.0,14.0,1.0,13
FFF,1,0,0,2,0.0,0,60,54.0,1,0,71.07692307692308,13.0,0.0,1.0,68.0,73.0,-54.38461538461539,1935.0,70.0,27.64,746.0,29.0,48.0,1.0,13
GGG,1,0,1,1,60.0,0,30,43.0,1,0,82.85714285714286,7.0,0.0,0.7,73.33333333333333,90.0,-34.714285714285715,599.0,34.0,17.62,109.0,14.0,25.0,0.0,10
FFF,1,1,0,1,10.0,0,120,68.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
DDD,0,0,0,3,30.0,0,60,43.0,1,0,86.14285714285714,7.0,0.0,1.0,88.33333333333333,0.0,0.0,809.0,74.0,10.93,0.0,98.0,81.0,1.0,7
FFF,1,0,0,1,40.0,0,60,25.0,0,0,82.75,12.0,0.0,0.9230769230769231,74.2,88.85714285714286,-79.25,5530.0,174.0,31.78,1864.0,418.0,18.0,1.0,13
BBB,0,0,0,1,40.0,0,180,121.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
EEE,1,0,1,2,70.0,0,120,23.0,0,0,88.0,4.0,0.0,0.8,88.0,0.0,-9.5,1683.0,90.0,18.7,157.0,205.0,12.0,1.0,5
BBB,0,0,0,1,10.0,4,120,4.0,0,1,91.0,2.0,0.0,0.3333333333333333,91.0,0.0,3.0,442.0,14.0,31.57,28.0,17.0,10.0,0.0,6
FFF,1,1,0,2,60.0,0,60,22.0,0,1,80.0,11.0,0.0,0.8461538461538461,81.5,79.14285714285714,-51.81818181818182,1674.0,48.0,34.88,719.0,100.0,26.0,0.0,13
CCC,1,0,0,2,50.0,0,60,60.0,1,0,90.57142857142857,21.0,0.0,1.0,89.88888888888889,91.18181818181819,-30.35,5671.0,162.0,35.01,1336.0,1087.0,96.0,1.0,10
FFF,1,0,0,2,40.0,0,60,43.0,1,0,64.41666666666667,12.0,0.0,0.9230769230769231,56.0,70.42857142857143,-6.083333333333333,1116.0,25.0,44.64,633.0,19.0,36.0,0.0,13
DDD,1,0,0,1,20.0,0,60,9.0,0,1,11.5,2.0,2.0,0.14285714285714285,11.5,0.0,8.5,44.0,4.0,11.0,0.0,0.0,5.0,0.0,14
AAA,1,0,1,1,50.0,0,60,130.0,1,0,72.6,5.0,0.0,0.8333333333333334,72.6,0.0,-2.2,1445.0,83.0,17.41,0.0,74.0,7.0,1.0,6
BBB,1,0,0,1,80.0,0,60,32.0,1,1,100.0,1.0,0.0,0.16666666666666666,100.0,0.0,-2.0,45.0,2.0,22.5,0.0,0.0,1.0,0.0,6
DDD,1,0,0,4,40.0,0,90,88.0,1,0,91.4375,16.0,0.0,1.0,91.3,89.75,-2.0,1452.0,86.0,16.88,282.0,215.0,255.0,1.0,7
GGG,0,0,1,2,30.0,0,30,115.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,22.0,23.95,3.0,123.0,74.0,1.0,10
GGG,1,0,0,1,40.0,0,30,129.0,1,0,77.88888888888889,9.0,0.0,0.9,67.0,83.33333333333333,-39.77777777777778,1235.0,66.0,18.71,153.0,59.0,37.0,0.0,10
CCC,0,1,0,2,10.0,0,60,64.0,1,0,71.22222222222223,9.0,0.0,0.9,79.5,56.75,5.625,972.0,82.0,11.85,218.0,95.0,39.0,1.0,10
EEE,1,0,1,1,90.0,0,60,53.0,1,1,66.0,1.0,0.0,0.2,66.0,0.0,-2.0,735.0,31.0,23.71,127.0,82.0,5.0,1.0,5
EEE,0,0,0,4,50.0,0,90,107.0,1,1,86.63636363636364,11.0,0.0,1.0,88.875,80.66666666666667,-23.363636363636363,7014.0,146.0,48.04,2010.0,1975.0,102.0,1.0,5
FFF,1,0,1,1,80.0,0,60,71.0,1,0,75.5,10.0,0.0,0.7692307692307693,75.2,75.8,-47.6,4168.0,173.0,24.09,904.0,440.0,44.0,1.0,13
BBB,0,0,1,2,60.0,0,120,141.0,1,0,63.7,10.0,0.0,0.8333333333333334,55.4,72.0,3.3,366.0,44.0,8.32,77.0,53.0,28.0,1.0,12
BBB,1,0,0,2,30.0,0,60,81.0,1,1,70.5,4.0,0.0,0.3333333333333333,61.0,80.0,1.0,142.0,17.0,8.35,38.0,63.0,0.0,0.0,12
BBB,0,0,0,1,30.0,0,60,71.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,9.33,0.0,0.0,5.0,1.0,12
BBB,0,1,0,1,60.0,0,60,99.0,1,1,82.33333333333333,3.0,0.0,0.5,82.33333333333333,0.0,-3.3333333333333335,392.0,21.0,18.67,115.0,89.0,23.0,1.0,6
DDD,0,0,1,1,30.0,0,60,59.0,1,1,49.333333333333336,3.0,1.0,0.42857142857142855,49.333333333333336,0.0,1.6666666666666667,167.0,22.0,7.59,0.0,3.0,23.0,1.0,7
DDD,1,0,0,2,10.0,0,60,87.0,1,1,53.0,1.0,0.0,0.14285714285714285,53.0,0.0,0.0,412.0,28.0,14.71,0.0,123.0,23.0,1.0,7
FFF,1,0,0,1,90.0,0,60,94.0,1,0,85.5,12.0,0.0,0.9230769230769231,84.4,86.28571428571429,-76.41666666666667,5566.0,154.0,36.14,1218.0,482.0,38.0,1.0,13
BBB,0,0,1,2,30.0,0,60,30.0,0,0,85.0,5.0,0.0,0.8333333333333334,85.0,0.0,-2.2,1156.0,78.0,14.82,202.0,363.0,45.0,1.0,6
DDD,1,0,0,1,90.0,0,120,49.0,1,1,79.0,1.0,0.0,0.14285714285714285,79.0,0.0,-2.0,711.0,44.0,16.16,0.0,263.0,14.0,1.0,7
BBB,0,0,0,1,40.0,0,60,18.0,0,0,81.0909090909091,11.0,0.0,0.9166666666666666,68.66666666666667,96.0,1.0,812.0,54.0,15.04,98.0,451.0,12.0,0.0,12
FFF,1,0,0,1,90.0,0,60,37.0,1,0,73.25,12.0,0.0,0.9230769230769231,72.6,73.71428571428571,-27.583333333333332,3280.0,116.0,28.28,782.0,99.0,48.0,1.0,13
CCC,1,0,0,1,40.0,0,90,150.0,1,0,68.88888888888889,9.0,0.0,0.9,77.5,64.0,-3.625,680.0,56.0,12.14,232.0,122.0,59.0,1.0,10
BBB,0,0,0,1,0.0,1,60,32.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,16.0,0.0,5.0,3.0,1.0,6
CCC,1,0,1,2,70.0,0,90,85.0,1,1,87.5,2.0,0.0,0.2,86.0,89.0,1.5,591.0,36.0,16.42,210.0,15.0,37.0,1.0,10
DDD,0,0,1,2,40.0,0,60,43.0,1,0,75.71428571428571,7.0,0.0,1.0,77.66666666666667,0.0,2.1666666666666665,1842.0,122.0,15.1,0.0,514.0,82.0,1.0,7
DDD,0,0,1,2,20.0,0,120,59.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,10.0,0.0,0.0,1.0,1.0,7
BBB,0,0,0,3,0.0,1,120,72.0,1,1,71.66666666666667,3.0,0.0,0.5,71.66666666666667,0.0,0.0,123.0,10.0,12.3,0.0,7.0,34.0,0.0,6
BBB,0,0,1,2,90.0,0,60,193.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
EEE,1,0,0,1,50.0,0,30,93.0,1,0,75.0,4.0,0.0,0.8,75.0,0.0,-0.25,1818.0,65.0,27.97,148.0,565.0,7.0,1.0,5
DDD,1,0,0,3,30.0,0,205,64.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
FFF,0,0,0,1,90.0,0,60,68.0,1,0,70.16666666666667,12.0,0.0,0.9230769230769231,64.4,74.28571428571429,-73.58333333333333,2488.0,68.0,36.59,1147.0,179.0,21.0,0.0,13
AAA,0,0,0,1,90.0,0,60,72.0,1,1,71.0,1.0,0.0,0.16666666666666666,71.0,0.0,0.0,765.0,34.0,22.5,0.0,97.0,7.0,1.0,6
AAA,1,0,0,1,0.0,0,180,19.0,0,0,66.4,5.0,0.0,0.8333333333333334,66.4,0.0,-5.4,677.0,52.0,13.02,0.0,43.0,11.0,1.0,6
GGG,0,0,0,1,20.0,0,30,11.0,0,1,81.66666666666667,3.0,0.0,0.3,72.5,100.0,-36.666666666666664,168.0,12.0,14.0,17.0,44.0,55.0,0.0,10
FFF,1,0,0,2,80.0,0,60,75.0,1,0,92.25,12.0,0.0,0.9230769230769231,92.0,92.42857142857143,-57.666666666666664,4177.0,142.0,29.42,706.0,536.0,93.0,1.0,13
DDD,0,0,1,1,40.0,1,315,218.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
CCC,0,0,1,2,40.0,0,60,193.0,1,0,82.77272727272727,22.0,0.0,1.0,81.9,89.8,-0.14285714285714285,3794.0,150.0,25.29,402.0,778.0,181.0,1.0,10
DDD,0,0,0,2,40.0,0,60,248.0,1,0,85.42857142857143,7.0,0.0,1.0,84.16666666666667,0.0,-6.428571428571429,2306.0,155.0,14.88,0.0,877.0,153.0,1.0,7
FFF,1,0,0,2,40.0,0,120,13.0,0,0,85.25,12.0,0.0,0.9230769230769231,86.8,84.14285714285714,-56.0,4822.0,139.0,34.69,1243.0,610.0,43.0,1.0,13
GGG,0,1,0,1,0.0,0,30,2.0,0,1,35.0,1.0,1.0,0.1,35.0,0.0,-3.0,152.0,9.0,16.89,2.0,9.0,29.0,1.0,10
CCC,1,0,1,3,40.0,1,30,29.0,0,1,82.1,10.0,0.0,1.0,84.25,80.66666666666667,-52.3,404.0,52.0,7.77,235.0,0.0,19.0,1.0,10
FFF,0,0,0,0,30.0,0,90,93.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.75,0.0,0.0,0.0,1.0,13
EEE,1,0,0,3,90.0,0,90,15.0,0,0,82.5,4.0,0.0,0.8,82.5,0.0,-0.25,1299.0,57.0,22.79,227.0,50.0,30.0,1.0,5
FFF,1,0,0,1,40.0,0,120,87.0,1,1,75.0,8.0,0.0,0.6153846153846154,70.0,80.0,-113.25,3136.0,77.0,40.73,573.0,458.0,47.0,1.0,13
CCC,0,0,0,1,10.0,0,210,21.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,10
